Cycle,Time,Displacement,Tension,Resistance,Stutus
1,0.01,0,0.2,5.89,Stretching
1,0.01,0,0.1,5.95,Stretching
1,0.02,0.01,-0.1,5.89,Stretching
1,0.03,0.01,0.1,5.95,Stretching
1,0.04,0.03,0.3,5.95,Stretching
1,0.05,0.05,0.5,5.95,Stretching
1,0.07,0.05,0.7,5.95,Stretching
1,0.08,0.07,0.9,5.95,Stretching
1,0.09,0.09,1.1,5.95,Stretching
1,0.1,0.09,1.3,5.95,Stretching
1,0.12,0.11,1.3,6.01,Stretching
1,0.13,0.12,1.5,5.95,Stretching
1,0.14,0.13,1.6,5.95,Stretching
1,0.15,0.14,1.7,6.01,Stretching
1,0.17,0.15,1.8,5.95,Stretching
1,0.18,0.17,1.9,6.07,Stretching
1,0.19,0.18,1.9,6.01,Stretching
1,0.2,0.19,2,6.01,Stretching
1,0.22,0.2,2.2,6.01,Stretching
1,0.23,0.22,2.6,6.01,Stretching
1,0.24,0.23,2.5,6.07,Stretching
1,0.25,0.24,2.6,6.01,Stretching
1,0.26,0.25,3,6.01,Stretching
1,0.28,0.27,3,6.07,Stretching
1,0.29,0.28,3.1,6.07,Stretching
1,0.3,0.29,3.2,6.07,Stretching
1,0.31,0.3,3.2,6.07,Stretching
1,0.33,0.32,3.6,6.13,Stretching
1,0.34,0.33,3.6,6.13,Stretching
1,0.35,0.35,3.5,6.13,Stretching
1,0.36,0.36,3.7,6.13,Stretching
1,0.38,0.37,3.7,6.13,Stretching
1,0.39,0.38,3.8,6.19,Stretching
1,0.4,0.4,4.1,6.19,Stretching
1,0.41,0.4,4.2,6.19,Stretching
1,0.43,0.41,4.1,6.25,Stretching
1,0.44,0.44,4.3,6.25,Stretching
1,0.45,0.45,4.6,6.25,Stretching
1,0.46,0.45,4.8,6.19,Stretching
1,0.47,0.47,5.1,6.25,Stretching
1,0.49,0.48,5.4,6.3,Stretching
1,0.5,0.5,5.2,6.3,Stretching
1,0.51,0.5,5.4,6.3,Stretching
1,0.52,0.51,5.7,6.3,Stretching
1,0.54,0.53,5.7,6.3,Stretching
1,0.55,0.55,5.8,6.3,Stretching
1,0.56,0.55,6,6.42,Stretching
1,0.57,0.56,6.1,6.42,Stretching
1,0.59,0.58,6.3,6.42,Stretching
1,0.6,0.6,6.4,6.42,Stretching
1,0.61,0.61,6.4,6.54,Stretching
1,0.62,0.62,6.5,6.48,Stretching
1,0.64,0.63,6.7,6.54,Stretching
1,0.65,0.65,6.7,6.54,Stretching
1,0.66,0.66,7,6.54,Stretching
1,0.67,0.68,7.3,6.6,Stretching
1,0.69,0.69,7.4,6.6,Stretching
1,0.7,0.7,7.3,6.66,Stretching
1,0.71,0.71,7.5,6.66,Stretching
1,0.72,0.72,7.4,6.66,Stretching
1,0.74,0.74,7.5,6.66,Stretching
1,0.75,0.75,8.1,6.66,Stretching
1,0.76,0.76,8.1,6.72,Stretching
1,0.77,0.77,8,6.72,Stretching
1,0.78,0.79,8.3,6.78,Stretching
1,0.8,0.8,8.6,6.78,Stretching
1,0.81,0.81,8.7,6.78,Stretching
1,0.82,0.83,8.9,6.84,Stretching
1,0.83,0.83,9,6.84,Stretching
1,0.85,0.85,8.9,6.84,Stretching
1,0.86,0.86,9,6.9,Stretching
1,0.87,0.87,9.1,6.96,Stretching
1,0.88,0.88,8.9,6.96,Stretching
1,0.9,0.9,9,7.02,Stretching
1,0.91,0.91,9.6,7.02,Stretching
1,0.92,0.92,10,7.08,Stretching
1,0.93,0.93,9.9,7.15,Stretching
1,0.95,0.95,9.8,7.15,Stretching
1,0.96,0.96,10.1,7.21,Stretching
1,0.97,0.98,10.1,7.21,Stretching
1,0.98,0.98,10.2,7.21,Stretching
1,0.99,1,10.6,7.21,Stretching
1,1.01,1.01,10.4,7.39,Stretching
1,1.02,1.02,10.5,7.33,Stretching
1,1.03,1.03,10.8,7.33,Stretching
1,1.04,1.05,10.7,7.39,Stretching
1,1.05,1.07,10.9,7.39,Stretching
1,1.07,1.08,11.1,7.45,Stretching
1,1.08,1.09,11,7.45,Stretching
1,1.09,1.11,11.2,7.45,Stretching
1,1.11,1.11,11.3,7.51,Stretching
1,1.12,1.12,11.5,7.51,Stretching
1,1.13,1.14,11.7,7.58,Stretching
1,1.14,1.15,11.6,7.64,Stretching
1,1.15,1.16,11.5,7.7,Stretching
1,1.17,1.18,11.6,7.7,Stretching
1,1.18,1.19,11.9,7.76,Stretching
1,1.19,1.2,12,7.82,Stretching
1,1.2,1.22,11.9,7.82,Stretching
1,1.22,1.23,12.1,7.89,Stretching
1,1.23,1.24,12.4,7.89,Stretching
1,1.24,1.25,12.7,8.01,Stretching
1,1.25,1.27,12.7,8.01,Stretching
1,1.27,1.28,12.8,8.01,Stretching
1,1.28,1.29,13.2,8.01,Stretching
1,1.29,1.31,13.1,8.08,Stretching
1,1.3,1.32,12.8,8.08,Stretching
1,1.32,1.34,13,8.14,Stretching
1,1.33,1.35,13.2,8.2,Stretching
1,1.34,1.36,13.1,8.27,Stretching
1,1.35,1.37,13.3,8.33,Stretching
1,1.37,1.38,13.5,8.33,Stretching
1,1.38,1.39,13.6,8.46,Stretching
1,1.39,1.41,13.7,8.58,Stretching
1,1.4,1.42,13.8,8.58,Stretching
1,1.41,1.44,13.8,8.65,Stretching
1,1.43,1.45,13.8,8.71,Stretching
1,1.44,1.47,13.9,8.78,Stretching
1,1.45,1.48,14.3,8.71,Stretching
1,1.46,1.49,14.3,8.78,Stretching
1,1.48,1.5,14.1,8.84,Stretching
1,1.49,1.51,14.1,8.97,Stretching
1,1.5,1.52,14.1,8.97,Stretching
1,1.51,1.54,14.3,9.04,Stretching
1,1.52,1.55,14.3,9.17,Stretching
1,1.54,1.57,14.4,9.17,Stretching
1,1.55,1.58,14.7,9.3,Stretching
1,1.56,1.59,14.9,9.43,Stretching
1,1.58,1.6,15,9.43,Stretching
1,1.59,1.61,15,9.5,Stretching
1,1.6,1.63,15,9.43,Stretching
1,1.61,1.64,15.2,9.5,Stretching
1,1.63,1.65,15.3,9.5,Stretching
1,1.64,1.67,15.4,9.5,Stretching
1,1.65,1.68,15.3,9.57,Stretching
1,1.66,1.69,15.5,9.63,Stretching
1,1.67,1.71,15.6,9.7,Stretching
1,1.69,1.72,15.6,9.7,Stretching
1,1.7,1.73,15.6,9.83,Stretching
1,1.71,1.75,16.1,9.97,Stretching
1,1.72,1.75,16.1,9.97,Stretching
1,1.74,1.76,16.2,10.04,Stretching
1,1.75,1.78,16.3,10.04,Stretching
1,1.76,1.79,16.3,10.04,Stretching
1,1.77,1.8,16.4,10.04,Stretching
1,1.79,1.82,16.4,10.1,Stretching
1,1.8,1.83,16.4,10.1,Stretching
1,1.81,1.84,16.5,10.24,Stretching
1,1.82,1.86,16.8,10.17,Stretching
1,1.84,1.86,16.9,10.31,Stretching
1,1.85,1.88,16.7,10.31,Stretching
1,1.86,1.9,17,10.31,Stretching
1,1.87,1.9,17.1,10.44,Stretching
1,1.88,1.92,17,10.38,Stretching
1,1.9,1.93,16.8,10.51,Stretching
1,1.91,1.95,17,10.58,Stretching
1,1.92,1.96,17.4,10.72,Stretching
1,1.93,1.97,17.6,10.72,Stretching
1,1.95,1.98,17.7,10.72,Stretching
1,1.96,1.99,17.8,10.72,Stretching
1,1.97,2.01,17.7,10.93,Stretching
1,1.98,2.02,17.5,10.93,Stretching
1,2,2.03,17.5,11,Stretching
1,2.01,2.04,17.7,11.07,Stretching
1,2.02,2.06,17.9,11.14,Stretching
1,2.03,2.07,17.9,11.14,Stretching
1,2.05,2.08,18,11.21,Stretching
1,2.06,2.1,18.2,11.21,Stretching
1,2.07,2.11,18.2,11.21,Stretching
1,2.08,2.12,18.2,11.28,Stretching
1,2.09,2.13,18.2,11.28,Stretching
1,2.11,2.14,18.6,11.28,Stretching
1,2.12,2.16,18.6,11.28,Stretching
1,2.13,2.17,18.4,11.35,Stretching
1,2.14,2.18,18.4,11.35,Stretching
1,2.16,2.19,18.7,11.28,Stretching
1,2.17,2.21,18.7,11.28,Stretching
1,2.18,2.22,18.8,11.35,Stretching
1,2.19,2.23,18.7,11.49,Stretching
1,2.21,2.25,18.9,11.56,Stretching
1,2.22,2.26,19,11.56,Stretching
1,2.23,2.27,19.2,11.64,Stretching
1,2.24,2.29,19.3,11.64,Stretching
1,2.26,2.3,19.4,11.71,Stretching
1,2.27,2.31,19.6,11.78,Stretching
1,2.28,2.33,19.7,11.78,Stretching
1,2.29,2.34,19.5,11.85,Stretching
1,2.3,2.35,19.5,11.92,Stretching
1,2.32,2.37,19.6,12,Stretching
1,2.33,2.38,19.6,12,Stretching
1,2.34,2.39,19.6,12.07,Stretching
1,2.35,2.4,19.9,12.21,Stretching
1,2.37,2.42,20,12.14,Stretching
1,2.38,2.43,19.9,12.21,Stretching
1,2.39,2.44,20.1,12.21,Stretching
1,2.4,2.46,20.2,12.21,Stretching
1,2.42,2.47,20.4,12.29,Stretching
1,2.43,2.48,20.3,12.29,Stretching
1,2.44,2.49,20.3,12.36,Stretching
1,2.45,2.5,20.6,12.29,Stretching
1,2.46,2.52,20.7,12.43,Stretching
1,2.48,2.53,20.6,12.43,Stretching
1,2.49,2.54,20.3,12.43,Stretching
1,2.5,2.55,20.5,12.51,Stretching
1,2.52,2.57,20.6,12.43,Stretching
1,2.53,2.58,20.7,12.58,Stretching
1,2.54,2.59,20.8,12.51,Stretching
1,2.55,2.61,21,12.58,Stretching
1,2.56,2.62,21.2,12.58,Stretching
1,2.58,2.63,21.3,12.58,Stretching
1,2.59,2.64,21.5,12.58,Stretching
1,2.6,2.66,21.6,12.51,Stretching
1,2.61,2.67,21.3,12.65,Stretching
1,2.63,2.68,21.4,12.65,Stretching
1,2.64,2.69,21.4,12.65,Stretching
1,2.65,2.7,21.6,12.73,Stretching
1,2.66,2.72,21.6,12.65,Stretching
1,2.67,2.73,21.7,12.8,Stretching
1,2.69,2.74,21.4,12.8,Stretching
1,2.7,2.76,21.6,12.88,Stretching
1,2.71,2.77,21.8,12.88,Stretching
1,2.73,2.78,22.2,12.95,Stretching
1,2.74,2.79,22.1,12.95,Stretching
1,2.75,2.81,22.3,12.95,Stretching
1,2.76,2.82,22.4,13.03,Stretching
1,2.77,2.84,22.4,13.03,Stretching
1,2.79,2.85,22.5,13.1,Stretching
1,2.8,2.86,22.7,13.1,Stretching
1,2.81,2.88,22.7,13.1,Stretching
1,2.82,2.89,22.7,13.25,Stretching
1,2.84,2.9,22.8,13.25,Stretching
1,2.85,2.92,22.9,13.18,Stretching
1,2.86,2.93,22.8,13.25,Stretching
1,2.87,2.94,23,13.33,Stretching
1,2.89,2.95,22.8,13.33,Stretching
1,2.9,2.97,22.9,13.4,Stretching
1,2.91,2.98,23.1,13.4,Stretching
1,2.92,2.99,23.1,13.4,Stretching
1,2.93,3.01,23.1,13.48,Stretching
1,2.95,3.02,23.2,13.48,Stretching
1,2.96,3.03,23.3,13.48,Stretching
1,2.97,3.04,23.4,13.48,Stretching
1,2.98,3.06,23.6,13.56,Stretching
1,3,3.07,23.6,13.56,Stretching
1,3.01,3.08,23.6,13.63,Stretching
1,3.02,3.1,23.9,13.63,Stretching
1,3.03,3.11,24,13.71,Stretching
1,3.05,3.12,23.6,13.71,Stretching
1,3.06,3.14,23.7,13.71,Stretching
1,3.07,3.15,23.9,13.79,Stretching
1,3.08,3.16,24.1,13.79,Stretching
1,3.1,3.17,24.2,13.79,Stretching
1,3.11,3.18,24.3,13.79,Stretching
1,3.12,3.2,24.4,13.94,Stretching
1,3.13,3.21,24.2,13.94,Stretching
1,3.14,3.22,24.3,13.86,Stretching
1,3.16,3.24,24.5,13.94,Stretching
1,3.17,3.25,24.5,13.94,Stretching
1,3.18,3.26,24.6,13.94,Stretching
1,3.19,3.27,24.5,14.02,Stretching
1,3.21,3.29,24.6,13.94,Stretching
1,3.22,3.3,24.4,13.94,Stretching
1,3.23,3.31,24.5,14.02,Stretching
1,3.24,3.33,24.8,14.09,Stretching
1,3.26,3.34,25.1,14.02,Stretching
1,3.27,3.35,25.3,14.02,Stretching
1,3.28,3.37,25.3,14.09,Stretching
1,3.29,3.38,25,14.09,Stretching
1,3.31,3.39,25.1,14.09,Stretching
1,3.32,3.41,25.4,14.09,Stretching
1,3.33,3.42,25.4,14.17,Stretching
1,3.34,3.43,25.5,14.17,Stretching
1,3.35,3.44,25.4,14.33,Stretching
1,3.37,3.46,25.3,14.25,Stretching
1,3.38,3.47,25.4,14.33,Stretching
1,3.39,3.48,25.7,14.33,Stretching
1,3.4,3.5,25.8,14.41,Stretching
1,3.42,3.51,25.7,14.33,Stretching
1,3.43,3.52,25.7,14.33,Stretching
1,3.44,3.54,26.1,14.41,Stretching
1,3.45,3.54,26,14.41,Stretching
1,3.47,3.56,25.9,14.48,Stretching
1,3.48,3.57,26,14.48,Stretching
1,3.49,3.58,26.2,14.48,Stretching
1,3.5,3.6,26.3,14.48,Stretching
1,3.52,3.61,26.4,14.41,Stretching
1,3.53,3.62,26.3,14.48,Stretching
1,3.54,3.64,26.4,14.48,Stretching
1,3.55,3.65,26.6,14.48,Stretching
1,3.56,3.66,26.4,14.56,Stretching
1,3.58,3.67,26.7,14.64,Stretching
1,3.59,3.69,27.1,14.56,Stretching
1,3.6,3.7,27.1,14.56,Stretching
1,3.61,3.71,26.9,14.64,Stretching
1,3.63,3.73,26.9,14.64,Stretching
1,3.64,3.74,27,14.72,Stretching
1,3.65,3.75,27.1,14.64,Stretching
1,3.66,3.77,27,14.72,Stretching
1,3.68,3.78,27.2,14.72,Stretching
1,3.69,3.79,27.2,14.72,Stretching
1,3.7,3.81,27,14.64,Stretching
1,3.71,3.82,27.2,14.8,Stretching
1,3.73,3.83,27.3,14.8,Stretching
1,3.74,3.85,27.5,14.8,Stretching
1,3.75,3.86,27.6,14.88,Stretching
1,3.76,3.87,27.7,14.88,Stretching
1,3.78,3.89,27.8,14.8,Stretching
1,3.79,3.9,27.9,14.88,Stretching
1,3.8,3.92,27.8,14.88,Stretching
1,3.81,3.93,27.9,14.8,Stretching
1,3.82,3.95,27.8,14.88,Stretching
1,3.84,3.96,27.9,14.96,Stretching
1,3.85,3.97,28.2,14.96,Stretching
1,3.86,3.98,28.3,15.04,Stretching
1,3.87,4,28.4,14.96,Stretching
1,3.89,4.01,28.6,14.96,Stretching
1,3.9,4.02,28.5,14.96,Stretching
1,3.91,4.03,28.5,15.04,Stretching
1,3.92,4.05,28.8,15.12,Stretching
1,3.94,4.06,28.9,15.04,Stretching
1,3.95,4.07,28.8,15.2,Stretching
1,3.96,4.09,28.8,15.2,Stretching
1,3.97,4.1,28.8,15.2,Stretching
1,3.98,4.11,29,15.2,Stretching
1,4,4.13,29.2,15.2,Stretching
1,4.01,4.14,29.3,15.28,Stretching
1,4.02,4.15,29.2,15.28,Stretching
1,4.03,4.17,29.2,15.36,Stretching
1,4.05,4.18,29.4,15.36,Stretching
1,4.06,4.19,29.4,15.36,Stretching
1,4.07,4.2,29.4,15.36,Stretching
1,4.08,4.22,29.3,15.36,Stretching
1,4.1,4.23,29.7,15.36,Stretching
1,4.11,4.24,30,15.36,Stretching
1,4.12,4.25,30,15.52,Stretching
1,4.13,4.27,29.9,15.44,Stretching
1,4.15,4.28,29.9,15.44,Stretching
1,4.16,4.29,29.9,15.44,Stretching
1,4.17,4.3,29.9,15.52,Stretching
1,4.18,4.32,30,15.52,Stretching
1,4.2,4.33,30.1,15.44,Stretching
1,4.21,4.34,30.2,15.52,Stretching
1,4.22,4.36,30.6,15.52,Stretching
1,4.23,4.37,30.6,15.61,Stretching
1,4.24,4.39,30.6,15.61,Stretching
1,4.26,4.4,30.6,15.61,Stretching
1,4.27,4.41,30.6,15.61,Stretching
1,4.28,4.42,30.9,15.69,Stretching
1,4.29,4.44,30.9,15.69,Stretching
1,4.31,4.45,30.8,15.69,Stretching
1,4.32,4.46,30.8,15.69,Stretching
1,4.33,4.48,31,15.69,Stretching
1,4.34,4.49,31.3,15.69,Stretching
1,4.36,4.5,31.4,15.69,Stretching
1,4.37,4.51,31.3,15.69,Stretching
1,4.38,4.52,31.4,15.77,Stretching
1,4.39,4.53,31.5,15.69,Stretching
1,4.41,4.55,31.6,15.77,Stretching
1,4.42,4.56,31.6,15.77,Stretching
1,4.43,4.57,31.5,15.77,Stretching
1,4.44,4.59,31.6,15.77,Stretching
1,4.45,4.59,31.6,15.77,Stretching
1,4.47,4.61,31.5,15.77,Stretching
1,4.48,4.63,31.7,15.77,Stretching
1,4.49,4.64,31.9,15.77,Stretching
1,4.5,4.65,31.9,15.85,Stretching
1,4.52,4.67,31.9,15.77,Stretching
1,4.53,4.68,32.1,15.77,Stretching
1,4.54,4.69,32.1,15.85,Stretching
1,4.55,4.71,32.6,15.77,Stretching
1,4.57,4.72,32.8,15.85,Stretching
1,4.58,4.73,32.5,15.77,Stretching
1,4.59,4.74,32.4,15.85,Stretching
1,4.6,4.76,32.7,15.93,Stretching
1,4.61,4.76,32.9,15.93,Stretching
1,4.63,4.78,32.8,16.02,Stretching
1,4.64,4.8,33,15.93,Stretching
1,4.65,4.8,33.2,16.02,Stretching
1,4.67,4.82,33.1,15.93,Stretching
1,4.68,4.84,33.3,16.02,Stretching
1,4.69,4.84,33.3,15.93,Stretching
1,4.7,4.86,33.5,16.02,Stretching
1,4.71,4.88,33.7,16.1,Stretching
1,4.73,4.89,33.6,16.02,Stretching
1,4.74,4.9,33.7,16.02,Stretching
1,4.75,4.92,33.5,16.02,Stretching
1,4.76,4.93,33.4,16.02,Stretching
1,4.78,4.94,33.8,16.02,Stretching
1,4.79,4.95,34,16.02,Stretching
1,4.8,4.96,33.9,16.02,Stretching
1,4.81,4.98,34.1,16.02,Stretching
1,4.83,4.97,34.1,16.1,Stretching
1,4.84,4.97,34,16.1,Stretching
1,4.85,4.97,34,16.1,Stretching
1,4.86,4.97,33.8,16.1,Stretching
1,4.88,4.97,33.6,16.02,Stretching
1,4.89,4.97,33.7,16.1,Stretching
1,4.9,4.97,33.2,16.02,Stretching
1,4.91,4.97,33.2,16.1,Stretching
1,4.92,4.97,33.2,16.1,Stretching
1,4.94,4.97,33.2,16.02,Stretching
1,4.95,4.97,33,16.1,Stretching
1,4.96,4.97,33.4,16.1,Stretching
1,4.97,4.97,33.5,16.02,Stretching
1,4.99,4.97,33.3,16.1,Stretching
1,5,4.97,33.2,16.1,Stretching
1,5.01,4.97,33.2,16.1,Stretching
1,5.03,4.97,33,16.1,Relaxing
1,5.04,4.97,32.8,16.1,Relaxing
1,5.05,4.96,32.8,16.02,Relaxing
1,5.06,4.95,32.7,16.02,Relaxing
1,5.07,4.93,32.4,16.02,Relaxing
1,5.09,4.93,32.1,16.02,Relaxing
1,5.1,4.91,31.8,16.02,Relaxing
1,5.11,4.89,31.5,16.02,Relaxing
1,5.12,4.88,31.4,16.02,Relaxing
1,5.13,4.87,31.4,16.02,Relaxing
1,5.15,4.86,31.3,16.02,Relaxing
1,5.16,4.84,31.1,15.93,Relaxing
1,5.17,4.83,30.9,15.93,Relaxing
1,5.18,4.82,31,15.93,Relaxing
1,5.2,4.8,30.5,15.93,Relaxing
1,5.21,4.79,30,15.93,Relaxing
1,5.22,4.78,29.8,15.93,Relaxing
1,5.23,4.76,29.9,15.93,Relaxing
1,5.25,4.76,29.9,15.93,Relaxing
1,5.26,4.74,29.5,15.93,Relaxing
1,5.27,4.73,29.2,15.93,Relaxing
1,5.28,4.72,29,15.93,Relaxing
1,5.3,4.7,29,15.85,Relaxing
1,5.31,4.69,28.9,15.85,Relaxing
1,5.32,4.68,28.7,15.93,Relaxing
1,5.33,4.67,28.8,15.85,Relaxing
1,5.34,4.65,28.5,15.85,Relaxing
1,5.36,4.64,28.2,15.85,Relaxing
1,5.37,4.63,28.1,15.85,Relaxing
1,5.38,4.61,28.1,15.85,Relaxing
1,5.39,4.6,28,15.85,Relaxing
1,5.41,4.59,27.9,15.85,Relaxing
1,5.42,4.57,27.8,15.69,Relaxing
1,5.43,4.57,27.4,15.77,Relaxing
1,5.44,4.55,27.2,15.77,Relaxing
1,5.46,4.53,27.3,15.77,Relaxing
1,5.47,4.53,27.1,15.77,Relaxing
1,5.48,4.51,26.7,15.69,Relaxing
1,5.49,4.5,26.7,15.77,Relaxing
1,5.51,4.49,26.9,15.69,Relaxing
1,5.52,4.48,26.8,15.69,Relaxing
1,5.53,4.46,26.7,15.69,Relaxing
1,5.54,4.45,26.4,15.69,Relaxing
1,5.55,4.44,26.1,15.69,Relaxing
1,5.57,4.43,25.9,15.69,Relaxing
1,5.58,4.41,25.8,15.69,Relaxing
1,5.59,4.4,25.7,15.69,Relaxing
1,5.6,4.39,25.8,15.77,Relaxing
1,5.62,4.38,25.8,15.69,Relaxing
1,5.63,4.36,25.5,15.69,Relaxing
1,5.64,4.34,25.4,15.69,Relaxing
1,5.65,4.34,25.2,15.77,Relaxing
1,5.67,4.32,25,15.61,Relaxing
1,5.68,4.31,25,15.69,Relaxing
1,5.69,4.3,24.8,15.61,Relaxing
1,5.7,4.28,24.6,15.61,Relaxing
1,5.72,4.27,24.4,15.61,Relaxing
1,5.73,4.26,24.3,15.61,Relaxing
1,5.74,4.25,24.1,15.61,Relaxing
1,5.75,4.23,24.1,15.61,Relaxing
1,5.76,4.22,24.1,15.61,Relaxing
1,5.78,4.21,23.8,15.61,Relaxing
1,5.79,4.2,23.6,15.61,Relaxing
1,5.8,4.18,23.8,15.61,Relaxing
1,5.81,4.17,23.9,15.61,Relaxing
1,5.83,4.16,23.8,15.61,Relaxing
1,5.84,4.14,23.3,15.52,Relaxing
1,5.85,4.13,23.2,15.52,Relaxing
1,5.86,4.11,23.4,15.52,Relaxing
1,5.88,4.1,23.2,15.52,Relaxing
1,5.89,4.09,22.9,15.52,Relaxing
1,5.9,4.08,22.7,15.52,Relaxing
1,5.91,4.07,22.7,15.44,Relaxing
1,5.93,4.05,22.6,15.44,Relaxing
1,5.94,4.04,22.5,15.44,Relaxing
1,5.95,4.03,22.5,15.44,Relaxing
1,5.96,4.01,22.4,15.36,Relaxing
1,5.98,4,22.1,15.44,Relaxing
1,5.99,3.98,22.2,15.44,Relaxing
1,6,3.97,22.1,15.44,Relaxing
1,6.01,3.96,21.9,15.44,Relaxing
1,6.02,3.95,21.9,15.36,Relaxing
1,6.04,3.93,21.9,15.44,Relaxing
1,6.05,3.92,21.7,15.36,Relaxing
1,6.06,3.91,21.6,15.36,Relaxing
1,6.07,3.89,21.6,15.28,Relaxing
1,6.09,3.88,21.6,15.28,Relaxing
1,6.1,3.86,21.2,15.28,Relaxing
1,6.11,3.85,20.9,15.2,Relaxing
1,6.12,3.84,21,15.36,Relaxing
1,6.14,3.82,21.2,15.2,Relaxing
1,6.15,3.81,21,15.28,Relaxing
1,6.16,3.8,20.5,15.2,Relaxing
1,6.17,3.78,20.4,15.2,Relaxing
1,6.19,3.77,20.3,15.12,Relaxing
1,6.2,3.76,20.3,15.2,Relaxing
1,6.21,3.74,20.3,15.2,Relaxing
1,6.22,3.73,19.9,15.2,Relaxing
1,6.24,3.72,19.9,15.2,Relaxing
1,6.25,3.7,19.9,15.28,Relaxing
1,6.26,3.69,20,15.2,Relaxing
1,6.27,3.68,19.9,15.2,Relaxing
1,6.28,3.67,19.8,15.2,Relaxing
1,6.3,3.65,19.7,15.2,Relaxing
1,6.31,3.64,19.4,15.28,Relaxing
1,6.32,3.63,19.5,15.2,Relaxing
1,6.33,3.61,19.4,15.28,Relaxing
1,6.34,3.6,19.4,15.12,Relaxing
1,6.36,3.59,19.3,15.12,Relaxing
1,6.37,3.58,19.1,15.12,Relaxing
1,6.38,3.56,18.9,15.12,Relaxing
1,6.4,3.55,18.7,15.04,Relaxing
1,6.41,3.54,18.9,15.12,Relaxing
1,6.42,3.52,19,15.12,Relaxing
1,6.43,3.51,18.8,14.96,Relaxing
1,6.45,3.5,18.5,15.04,Relaxing
1,6.46,3.48,18.5,14.96,Relaxing
1,6.47,3.48,18.3,15.04,Relaxing
1,6.48,3.46,18.5,14.88,Relaxing
1,6.49,3.45,18.3,14.96,Relaxing
1,6.51,3.44,18.4,14.88,Relaxing
1,6.52,3.42,18.5,14.96,Relaxing
1,6.53,3.41,18.1,14.96,Relaxing
1,6.54,3.4,17.8,14.88,Relaxing
1,6.55,3.38,18.1,14.88,Relaxing
1,6.57,3.37,18.1,14.88,Relaxing
1,6.58,3.36,17.7,14.88,Relaxing
1,6.59,3.35,17.5,14.8,Relaxing
1,6.61,3.33,17.7,14.8,Relaxing
1,6.62,3.32,17.4,14.8,Relaxing
1,6.63,3.31,17.2,14.72,Relaxing
1,6.64,3.29,17.1,14.72,Relaxing
1,6.66,3.28,17.2,14.72,Relaxing
1,6.67,3.27,17.3,14.8,Relaxing
1,6.68,3.26,17.3,14.72,Relaxing
1,6.69,3.24,16.9,14.72,Relaxing
1,6.7,3.23,16.8,14.72,Relaxing
1,6.72,3.22,16.8,14.72,Relaxing
1,6.73,3.2,16.6,14.72,Relaxing
1,6.74,3.19,16.3,14.72,Relaxing
1,6.75,3.18,16.5,14.64,Relaxing
1,6.77,3.16,16.5,14.56,Relaxing
1,6.78,3.15,16.5,14.64,Relaxing
1,6.79,3.14,16.2,14.56,Relaxing
1,6.8,3.12,16.2,14.64,Relaxing
1,6.82,3.11,16.2,14.56,Relaxing
1,6.83,3.1,16,14.56,Relaxing
1,6.84,3.09,16.1,14.41,Relaxing
1,6.85,3.08,16,14.41,Relaxing
1,6.86,3.06,15.8,14.41,Relaxing
1,6.88,3.05,15.7,14.41,Relaxing
1,6.89,3.04,15.6,14.33,Relaxing
1,6.9,3.03,15.6,14.33,Relaxing
1,6.91,3.01,15.4,14.33,Relaxing
1,6.93,3,15.3,14.33,Relaxing
1,6.94,2.98,15.3,14.33,Relaxing
1,6.95,2.97,15.2,14.33,Relaxing
1,6.96,2.96,15.1,14.33,Relaxing
1,6.98,2.95,15.1,14.25,Relaxing
1,6.99,2.94,14.9,14.25,Relaxing
1,7,2.92,14.7,14.25,Relaxing
1,7.01,2.91,14.8,14.17,Relaxing
1,7.03,2.89,14.9,14.02,Relaxing
1,7.04,2.88,14.9,14.09,Relaxing
1,7.05,2.87,14.8,14.17,Relaxing
1,7.06,2.86,14.6,14.02,Relaxing
1,7.07,2.84,14.5,14.17,Relaxing
1,7.09,2.83,14.4,14.09,Relaxing
1,7.1,2.82,14.2,14.17,Relaxing
1,7.11,2.8,14.2,14.02,Relaxing
1,7.13,2.79,14,14.02,Relaxing
1,7.14,2.78,14.1,13.94,Relaxing
1,7.15,2.76,14.1,13.94,Relaxing
1,7.16,2.75,13.8,13.86,Relaxing
1,7.17,2.74,13.7,13.79,Relaxing
1,7.19,2.72,13.7,13.79,Relaxing
1,7.2,2.71,13.6,13.71,Relaxing
1,7.21,2.7,13.6,13.63,Relaxing
1,7.22,2.69,13.6,13.63,Relaxing
1,7.24,2.67,13.4,13.63,Relaxing
1,7.25,2.66,13.4,13.63,Relaxing
1,7.26,2.65,13.2,13.63,Relaxing
1,7.27,2.64,13,13.71,Relaxing
1,7.28,2.63,13,13.4,Relaxing
1,7.3,2.61,12.9,13.33,Relaxing
1,7.31,2.6,12.7,13.25,Relaxing
1,7.32,2.59,12.7,13.18,Relaxing
1,7.34,2.57,12.5,13.18,Relaxing
1,7.35,2.56,12.6,13.1,Relaxing
1,7.36,2.55,12.6,12.95,Relaxing
1,7.37,2.54,12.5,12.88,Relaxing
1,7.38,2.52,12.3,12.88,Relaxing
1,7.4,2.51,12.2,12.8,Relaxing
1,7.41,2.5,12.6,12.88,Relaxing
1,7.42,2.48,12.4,12.8,Relaxing
1,7.43,2.47,12.3,12.8,Relaxing
1,7.45,2.46,12.2,12.73,Relaxing
1,7.46,2.45,12.1,12.65,Relaxing
