Time,Displacement,Tension,Resistance,Stutus
0,0.01,-10.3,6.96,Stretching
0.01,0,-10.6,7.02,Stretching
0.02,0.01,-10.9,6.96,Stretching
0.03,0.03,-10.4,7.02,Stretching
0.04,0.05,-9.9,7.08,Stretching
0.05,0.05,-9.8,7.02,Stretching
0.07,0.07,-9.4,7.08,Stretching
0.08,0.08,-9,7.02,Stretching
0.09,0.09,-8.8,7.15,Stretching
0.1,0.11,-8.6,7.02,Stretching
0.12,0.12,-8.6,7.02,Stretching
0.13,0.13,-8.3,7.08,Stretching
0.14,0.14,-7.7,7.02,Stretching
0.15,0.15,-7.5,7.02,Stretching
0.17,0.17,-7.5,7.08,Stretching
0.18,0.18,-7.4,7.02,Stretching
0.19,0.19,-7.3,7.02,Stretching
0.2,0.21,-7,6.96,Stretching
0.22,0.22,-6.6,7.02,Stretching
0.23,0.23,-6.7,7.02,Stretching
0.24,0.25,-6.5,7.08,Stretching
0.25,0.25,-6.3,7.08,Stretching
0.26,0.27,-6.1,7.15,Stretching
0.28,0.28,-5.6,7.08,Stretching
0.29,0.29,-5.7,7.15,Stretching
0.3,0.31,-5.8,7.15,Stretching
0.31,0.32,-5.7,7.15,Stretching
0.33,0.34,-5.6,7.08,Stretching
0.34,0.35,-5.2,7.08,Stretching
0.35,0.36,-5.2,7.02,Stretching
0.36,0.37,-4.9,7.08,Stretching
0.37,0.38,-4.8,7.15,Stretching
0.39,0.4,-4.8,7.08,Stretching
0.4,0.41,-4.8,7.08,Stretching
0.41,0.42,-4.6,7.08,Stretching
0.43,0.44,-4.3,7.15,Stretching
0.44,0.45,-3.8,7.08,Stretching
0.45,0.46,-3.8,7.21,Stretching
0.46,0.47,-3.9,7.15,Stretching
0.47,0.49,-3.8,7.21,Stretching
0.49,0.5,-3.8,7.15,Stretching
0.5,0.51,-3.4,7.27,Stretching
0.51,0.52,-3.3,7.21,Stretching
0.52,0.54,-3.3,7.27,Stretching
0.54,0.55,-3.3,7.33,Stretching
0.55,0.56,-3.3,7.33,Stretching
0.56,0.57,-3,7.33,Stretching
0.57,0.58,-3,7.33,Stretching
0.59,0.6,-2.6,7.39,Stretching
0.6,0.61,-2.5,7.51,Stretching
0.61,0.62,-2.3,7.51,Stretching
0.62,0.64,-2.1,7.51,Stretching
0.63,0.65,-2.3,7.58,Stretching
0.65,0.66,-2,7.64,Stretching
0.66,0.68,-1.7,7.7,Stretching
0.67,0.69,-1.9,7.7,Stretching
0.68,0.7,-1.7,7.76,Stretching
0.7,0.71,-1.5,7.82,Stretching
0.71,0.73,-1.5,7.76,Stretching
0.72,0.74,-1.4,7.95,Stretching
0.73,0.75,-1.5,8.14,Stretching
0.75,0.77,-1.3,8.14,Stretching
0.76,0.78,-1.5,8.33,Stretching
0.77,0.8,-1.4,8.27,Stretching
0.78,0.81,-1.2,8.27,Stretching
0.8,0.82,-0.9,8.33,Stretching
0.81,0.83,-0.5,8.46,Stretching
0.82,0.85,-0.4,8.58,Stretching
0.83,0.86,-0.4,8.71,Stretching
0.84,0.88,-0.5,8.71,Stretching
0.86,0.89,-0.3,8.78,Stretching
0.87,0.9,-0.3,8.97,Stretching
0.88,0.91,-0.2,8.84,Stretching
0.89,0.93,0,8.97,Stretching
0.91,0.95,-0.2,9.04,Stretching
0.92,0.95,0,9.17,Stretching
0.93,0.97,0.3,9.24,Stretching
0.94,0.98,0.3,9.3,Stretching
0.96,1,0.5,9.37,Stretching
0.97,1.01,0.5,9.43,Stretching
0.98,1.02,0.5,9.5,Stretching
0.99,1.03,0.4,9.5,Stretching
1.01,1.05,0.6,9.57,Stretching
1.02,1.06,0.7,9.57,Stretching
1.03,1.08,0.7,9.7,Stretching
1.04,1.09,0.8,9.9,Stretching
1.05,1.1,0.9,9.83,Stretching
1.07,1.11,1.2,9.9,Stretching
1.08,1.12,1.3,9.83,Stretching
1.09,1.13,1.2,9.83,Stretching
1.1,1.14,1.4,9.83,Stretching
1.12,1.16,1.5,9.9,Stretching
1.13,1.17,1.6,9.9,Stretching
1.14,1.18,1.8,10.1,Stretching
1.15,1.2,2,10.24,Stretching
1.17,1.22,1.9,10.24,Stretching
1.18,1.23,1.9,10.31,Stretching
1.19,1.24,2,10.31,Stretching
1.2,1.25,2.2,10.38,Stretching
1.21,1.26,2.4,11.28,Stretching
1.23,1.27,2.3,11.85,Stretching
1.24,1.29,2.4,12.14,Stretching
1.25,1.3,2.4,12.21,Stretching
1.26,1.32,2.3,12.14,Stretching
1.28,1.33,2.5,12.07,Stretching
1.29,1.34,2.6,11.92,Stretching
1.3,1.36,2.8,11.85,Stretching
1.31,1.37,2.8,12.8,Stretching
1.33,1.38,2.9,12.73,Stretching
1.34,1.39,2.9,12.65,Stretching
1.35,1.4,2.8,12.73,Stretching
1.36,1.41,2.9,12.8,Stretching
1.37,1.43,3.2,12.8,Stretching
1.39,1.45,3.3,12.8,Stretching
1.4,1.46,3.6,12.88,Stretching
1.41,1.47,3.6,12.95,Stretching
1.42,1.49,3.4,12.88,Stretching
1.44,1.5,3.3,12.95,Stretching
1.45,1.51,3.7,13.1,Stretching
1.46,1.52,3.7,12.95,Stretching
1.47,1.53,3.7,12.95,Stretching
1.49,1.54,3.8,12.95,Stretching
1.5,1.56,3.9,13.03,Stretching
1.51,1.58,3.8,13.03,Stretching
1.52,1.59,3.9,13.1,Stretching
1.54,1.6,4.3,13.1,Stretching
1.55,1.61,4.5,13.18,Stretching
1.56,1.62,4.7,13.18,Stretching
1.57,1.63,4.5,13.25,Stretching
1.59,1.65,4.3,13.25,Stretching
1.6,1.65,4.5,13.25,Stretching
1.61,1.67,4.5,13.33,Stretching
1.62,1.68,4.7,13.33,Stretching
1.63,1.7,4.7,13.4,Stretching
1.65,1.71,4.9,13.4,Stretching
1.66,1.72,4.9,13.48,Stretching
1.67,1.73,4.9,13.4,Stretching
1.68,1.75,5.1,13.48,Stretching
1.7,1.76,5.1,13.56,Stretching
1.71,1.77,5.3,13.56,Stretching
1.72,1.78,5.6,13.56,Stretching
1.73,1.79,5.4,13.56,Stretching
1.75,1.81,5.3,13.63,Stretching
1.76,1.82,5.4,13.63,Stretching
1.77,1.84,5.4,13.63,Stretching
1.78,1.85,5.6,13.71,Stretching
1.8,1.86,5.9,13.71,Stretching
1.81,1.88,5.6,13.71,Stretching
1.82,1.88,5.7,13.79,Stretching
1.83,1.9,5.7,13.86,Stretching
1.84,1.91,5.9,13.79,Stretching
1.86,1.93,6,13.79,Stretching
1.87,1.93,5.9,13.94,Stretching
1.88,1.95,6,13.86,Stretching
1.89,1.97,6.1,13.94,Stretching
1.91,1.98,6,13.94,Stretching
1.92,1.99,6.2,13.94,Stretching
1.93,2.01,6.2,13.94,Stretching
1.94,2.02,6.2,14.02,Stretching
1.96,2.03,6.3,14.09,Stretching
1.97,2.04,6.6,14.09,Stretching
1.98,2.06,6.8,14.17,Stretching
1.99,2.07,6.9,14.17,Stretching
2.01,2.08,6.5,14.25,Stretching
2.02,2.09,6.6,14.33,Stretching
2.03,2.1,6.8,14.33,Stretching
2.04,2.12,6.7,14.33,Stretching
2.05,2.13,7,14.41,Stretching
2.07,2.14,7,14.41,Stretching
2.08,2.15,7.1,14.48,Stretching
2.09,2.17,7.4,14.48,Stretching
2.1,2.17,7.2,14.56,Stretching
2.12,2.19,7.3,14.72,Stretching
2.13,2.2,7.3,14.72,Stretching
2.14,2.21,7.4,14.72,Stretching
2.15,2.23,7.5,14.8,Stretching
2.17,2.24,7.4,14.88,Stretching
2.18,2.25,7.5,14.88,Stretching
2.19,2.26,7.7,14.96,Stretching
2.2,2.28,7.8,15.04,Stretching
2.22,2.29,7.6,14.88,Stretching
2.23,2.3,7.7,14.96,Stretching
2.24,2.32,7.8,15.04,Stretching
2.25,2.33,7.7,15.12,Stretching
2.26,2.34,7.9,15.12,Stretching
2.28,2.36,8.1,15.2,Stretching
2.29,2.37,8,15.2,Stretching
2.3,2.38,7.9,15.2,Stretching
2.31,2.4,8.2,15.28,Stretching
2.33,2.41,8.1,15.28,Stretching
2.34,2.42,8.3,15.44,Stretching
2.35,2.43,8.3,15.36,Stretching
2.36,2.45,8.4,15.44,Stretching
2.37,2.46,8.5,15.52,Stretching
2.39,2.47,8.5,15.52,Stretching
2.4,2.49,8.5,15.52,Stretching
2.41,2.5,8.6,15.69,Stretching
2.42,2.51,8.8,15.77,Stretching
2.44,2.53,8.6,15.77,Stretching
2.45,2.54,8.8,15.85,Stretching
2.46,2.55,8.9,16.02,Stretching
2.47,2.56,8.8,16.18,Stretching
2.49,2.57,8.9,16.26,Stretching
2.5,2.59,9,16.26,Stretching
2.51,2.6,8.9,16.18,Stretching
2.52,2.61,8.8,16.26,Stretching
2.53,2.62,8.9,16.35,Stretching
2.55,2.64,9.2,16.35,Stretching
2.56,2.65,9.1,16.35,Stretching
2.57,2.66,9.2,16.35,Stretching
2.59,2.67,9.4,16.43,Stretching
2.6,2.68,9.5,16.52,Stretching
2.61,2.7,9.6,16.52,Stretching
2.62,2.71,9.6,16.6,Stretching
2.63,2.72,9.6,16.6,Stretching
2.65,2.73,9.8,16.6,Stretching
2.66,2.75,10,16.68,Stretching
2.67,2.76,9.9,16.77,Stretching
2.68,2.77,9.9,16.77,Stretching
2.7,2.79,10,16.85,Stretching
2.71,2.8,9.9,16.85,Stretching
2.72,2.81,10.1,16.85,Stretching
2.73,2.82,10.2,16.94,Stretching
2.75,2.84,10,16.94,Stretching
2.76,2.85,10.1,16.94,Stretching
2.77,2.86,10.2,16.94,Stretching
2.78,2.87,10.4,17.11,Stretching
2.79,2.89,10.4,17.19,Stretching
2.81,2.9,10.7,17.19,Stretching
2.82,2.92,10.5,17.28,Stretching
2.83,2.92,10.5,17.28,Stretching
2.84,2.94,10.7,17.37,Stretching
2.86,2.95,10.7,17.37,Stretching
2.87,2.96,10.5,17.45,Stretching
2.88,2.98,10.7,17.45,Stretching
2.89,2.99,11,17.54,Stretching
2.91,3.01,10.8,17.54,Stretching
2.92,3.02,10.8,17.54,Stretching
2.93,3.03,10.9,17.54,Stretching
2.94,3.04,11.1,17.62,Stretching
2.96,3.06,10.9,17.62,Stretching
2.97,3.07,10.8,17.62,Stretching
2.98,3.08,11.2,17.71,Stretching
2.99,3.09,11.5,17.89,Stretching
3,3.11,11.3,17.89,Stretching
3.02,3.12,11.3,17.97,Stretching
3.03,3.13,11.3,18.06,Stretching
3.04,3.14,11.1,18.06,Stretching
3.05,3.16,11.1,17.97,Stretching
3.07,3.17,11.2,18.15,Stretching
3.08,3.18,11.5,18.24,Stretching
3.09,3.19,11.7,18.15,Stretching
3.1,3.2,11.5,18.24,Stretching
3.12,3.22,11.5,18.33,Stretching
3.13,3.23,11.7,18.33,Stretching
3.14,3.24,11.6,18.24,Stretching
3.15,3.26,11.7,18.15,Stretching
3.17,3.27,11.8,18.42,Stretching
3.18,3.28,12,18.42,Stretching
3.19,3.3,12.2,18.42,Stretching
3.2,3.31,12.3,18.51,Stretching
3.21,3.32,12,18.51,Stretching
3.23,3.33,12.2,18.59,Stretching
3.24,3.35,12.2,18.68,Stretching
3.25,3.36,12.1,18.59,Stretching
3.26,3.37,12.2,18.59,Stretching
3.28,3.38,12.2,18.77,Stretching
3.29,3.4,12.3,18.77,Stretching
3.3,3.41,12.4,18.68,Stretching
3.31,3.42,12.7,18.42,Stretching
3.33,3.44,12.7,18.42,Stretching
3.34,3.45,12.6,18.42,Stretching
3.35,3.46,12.6,18.42,Stretching
3.36,3.48,12.5,18.42,Stretching
3.37,3.49,12.7,18.51,Stretching
3.39,3.5,13,18.59,Stretching
3.4,3.52,12.9,18.68,Stretching
3.41,3.53,12.8,18.68,Stretching
3.42,3.54,12.6,18.68,Stretching
3.44,3.56,12.9,18.68,Stretching
3.45,3.57,13,18.77,Stretching
3.46,3.58,13.1,18.77,Stretching
3.47,3.59,13.1,18.77,Stretching
3.49,3.6,13.2,18.95,Stretching
3.5,3.61,13.4,18.95,Stretching
3.51,3.63,13.3,18.95,Stretching
3.52,3.64,13.1,19.05,Stretching
3.53,3.65,13.2,19.05,Stretching
3.55,3.67,13.4,19.05,Stretching
3.56,3.68,13.3,18.95,Stretching
3.57,3.69,13.3,19.14,Stretching
3.59,3.7,13.6,19.23,Stretching
3.6,3.72,13.8,19.14,Stretching
3.61,3.73,13.5,19.23,Stretching
3.62,3.74,13.7,19.23,Stretching
3.63,3.75,13.7,19.23,Stretching
3.65,3.77,13.8,19.23,Stretching
3.66,3.78,14,19.23,Stretching
3.67,3.8,14,19.23,Stretching
3.68,3.81,13.8,19.23,Stretching
3.7,3.82,13.7,19.5,Stretching
3.71,3.84,13.9,19.5,Stretching
3.72,3.85,14.1,19.41,Stretching
3.73,3.86,14,19.5,Stretching
3.75,3.87,14,19.59,Stretching
3.76,3.89,14,19.41,Stretching
3.77,3.9,14.1,19.5,Stretching
3.78,3.91,14.3,19.5,Stretching
3.8,3.93,14.4,19.5,Stretching
3.81,3.94,14.4,19.59,Stretching
3.82,3.96,14.5,19.59,Stretching
3.83,3.97,14.5,19.78,Stretching
3.84,3.98,14.4,19.78,Stretching
3.86,4,14.6,19.78,Stretching
3.87,4.01,14.6,19.87,Stretching
3.88,4.02,14.5,19.87,Stretching
3.89,4.03,14.8,19.87,Stretching
3.91,4.05,14.8,20.06,Stretching
3.92,4.06,14.8,19.87,Stretching
3.93,4.07,14.9,20.06,Stretching
3.94,4.09,15.1,20.15,Stretching
3.96,4.1,14.9,20.06,Stretching
3.97,4.11,14.8,19.97,Stretching
3.98,4.13,15,20.06,Stretching
3.99,4.14,15.2,20.15,Stretching
4.01,4.16,15.1,20.15,Stretching
4.02,4.17,15,20.15,Stretching
4.03,4.18,15.2,20.15,Stretching
4.04,4.19,15.1,20.25,Stretching
4.05,4.21,15.4,20.25,Stretching
4.07,4.22,15.5,20.34,Stretching
4.08,4.23,15,20.25,Stretching
4.09,4.25,15,20.25,Stretching
4.1,4.26,15.4,20.34,Stretching
4.12,4.27,15.6,20.43,Stretching
4.13,4.28,15.7,20.53,Stretching
4.14,4.3,15.6,20.53,Stretching
4.15,4.31,15.4,20.43,Stretching
4.17,4.32,15.7,20.43,Stretching
4.18,4.34,15.7,20.53,Stretching
4.19,4.34,15.6,20.62,Stretching
4.2,4.36,15.6,20.72,Stretching
4.22,4.37,15.9,20.72,Stretching
4.23,4.39,15.9,20.82,Stretching
4.24,4.4,16.1,20.82,Stretching
4.25,4.41,16.1,20.82,Stretching
4.26,4.42,16.2,20.91,Stretching
4.28,4.44,16.2,21.01,Stretching
4.29,4.45,16,21.01,Stretching
4.3,4.46,15.7,21.01,Stretching
4.31,4.48,15.9,21.1,Stretching
4.33,4.49,16.3,21.1,Stretching
4.34,4.5,16.3,21.1,Stretching
4.35,4.51,16.3,21.1,Stretching
4.36,4.53,16.5,21.2,Stretching
4.37,4.54,16.6,21.2,Stretching
4.39,4.55,16.5,21.3,Stretching
4.4,4.57,16.3,21.3,Stretching
4.41,4.58,16.3,21.3,Stretching
4.42,4.59,16.4,21.3,Stretching
4.44,4.61,16.6,21.3,Stretching
4.45,4.61,16.9,21.39,Stretching
4.46,4.63,16.8,21.39,Stretching
4.47,4.65,16.9,21.39,Stretching
4.49,4.66,17,21.49,Stretching
4.5,4.67,16.9,21.49,Stretching
4.51,4.69,16.7,21.49,Stretching
4.52,4.7,16.8,21.49,Stretching
4.53,4.71,17,21.59,Stretching
4.55,4.73,17.1,21.59,Stretching
4.56,4.74,17.4,21.59,Stretching
4.57,4.75,17.2,21.59,Stretching
4.58,4.76,17.2,21.69,Stretching
4.6,4.78,17,21.59,Stretching
4.61,4.79,17.1,21.79,Stretching
4.62,4.8,17.4,21.79,Stretching
4.63,4.82,17.4,21.88,Stretching
4.65,4.83,17.5,21.88,Stretching
4.66,4.84,17.5,21.88,Stretching
4.67,4.86,17.3,21.98,Stretching
4.68,4.88,17.5,22.08,Stretching
4.7,4.89,17.5,22.18,Stretching
4.71,4.9,17.7,22.18,Stretching
4.72,4.92,17.8,22.18,Stretching
4.73,4.93,17.7,22.18,Stretching
4.75,4.95,17.8,22.28,Stretching
4.76,4.96,17.8,22.28,Stretching
4.77,4.97,17.7,22.28,Stretching
4.78,4.99,17.9,22.38,Stretching
4.79,5,17.9,22.38,Stretching
4.81,5.01,18,22.38,Stretching
4.82,5.03,18.1,22.38,Stretching
4.83,5.03,17.8,22.48,Stretching
4.84,5.05,17.8,22.58,Stretching
4.86,5.07,18.1,22.58,Stretching
4.87,5.07,18.4,22.58,Stretching
4.88,5.09,18.3,22.58,Stretching
4.89,5.1,18.2,22.68,Stretching
4.91,5.11,18.3,22.48,Stretching
4.92,5.13,18.5,22.68,Stretching
4.93,5.14,18.6,22.78,Stretching
4.94,5.16,18.7,22.78,Stretching
4.96,5.17,18.7,22.78,Stretching
4.97,5.18,18.6,22.78,Stretching
4.98,5.19,18.4,22.89,Stretching
4.99,5.2,18.5,22.78,Stretching
5,5.22,18.6,22.89,Stretching
5.02,5.24,18.7,22.99,Stretching
5.03,5.24,18.8,22.99,Stretching
5.04,5.26,18.9,23.19,Stretching
5.05,5.27,18.7,23.19,Stretching
5.07,5.28,18.6,23.09,Stretching
5.08,5.3,18.5,23.19,Stretching
5.09,5.31,18.6,23.29,Stretching
5.1,5.32,18.8,23.29,Stretching
5.12,5.34,19.1,23.19,Stretching
5.13,5.35,19.2,23.4,Stretching
5.14,5.36,19,23.4,Stretching
5.15,5.38,19.1,23.5,Stretching
5.17,5.39,19.2,23.5,Stretching
5.18,5.4,19.2,23.6,Stretching
5.19,5.41,19.3,23.6,Stretching
5.2,5.43,19.5,23.6,Stretching
5.21,5.44,19.2,23.6,Stretching
5.23,5.45,19.2,23.71,Stretching
5.24,5.47,19.3,23.71,Stretching
5.25,5.48,19.3,23.81,Stretching
5.26,5.49,19.5,23.81,Stretching
5.28,5.51,19.6,23.81,Stretching
5.29,5.52,19.7,23.92,Stretching
5.3,5.53,19.8,23.92,Stretching
5.31,5.55,19.8,23.92,Stretching
5.33,5.56,19.7,23.92,Stretching
5.34,5.57,19.9,24.02,Stretching
5.35,5.58,20,24.02,Stretching
5.36,5.59,19.9,24.13,Stretching
5.37,5.61,20,24.13,Stretching
5.39,5.62,20,24.13,Stretching
5.4,5.64,20.1,24.23,Stretching
5.41,5.65,20.1,24.23,Stretching
5.42,5.66,20,24.23,Stretching
5.44,5.68,20,24.23,Stretching
5.45,5.69,20,24.34,Stretching
5.46,5.7,20.1,24.34,Stretching
5.47,5.71,20,24.44,Stretching
5.49,5.72,20,24.44,Stretching
5.5,5.74,20,24.44,Stretching
5.51,5.75,20.1,24.44,Stretching
5.52,5.76,20.3,24.55,Stretching
5.53,5.78,20.5,24.44,Stretching
5.55,5.79,20.5,24.55,Stretching
5.56,5.8,20.6,24.66,Stretching
5.57,5.81,20.6,24.66,Stretching
5.58,5.82,20.3,24.66,Stretching
5.6,5.84,20.6,24.66,Stretching
5.61,5.85,20.8,24.66,Stretching
5.62,5.87,20.7,24.76,Stretching
5.63,5.88,20.4,24.66,Stretching
5.65,5.89,20.6,24.76,Stretching
5.66,5.91,21,24.87,Stretching
5.67,5.92,20.9,24.87,Stretching
5.68,5.93,20.8,24.87,Stretching
5.69,5.95,21,24.98,Stretching
5.71,5.97,21,24.98,Stretching
5.72,5.98,21.1,25.09,Stretching
5.73,5.99,21.2,25.19,Stretching
5.75,6.01,21.2,25.19,Stretching
5.76,6.01,21.2,25.3,Stretching
5.77,6.03,21.2,25.19,Stretching
5.78,6.04,21.5,25.41,Stretching
5.79,6.05,21.4,25.3,Stretching
5.81,6.07,21.4,25.41,Stretching
5.82,6.08,21.7,25.41,Stretching
5.83,6.09,21.6,25.52,Stretching
5.84,6.11,21.6,25.52,Stretching
5.86,6.12,21.5,25.52,Stretching
5.87,6.13,21.5,25.52,Stretching
5.88,6.14,21.5,25.52,Stretching
5.89,6.16,21.7,25.52,Stretching
5.91,6.17,21.9,25.63,Stretching
5.92,6.18,21.9,25.52,Stretching
5.93,6.2,21.7,25.63,Stretching
5.94,6.21,21.7,25.63,Stretching
5.96,6.22,21.9,25.74,Stretching
5.97,6.23,22,25.74,Stretching
5.98,6.25,22.1,25.74,Stretching
5.99,6.26,22,25.85,Stretching
6,6.27,22.1,25.85,Stretching
6.02,6.28,22.1,25.96,Stretching
6.03,6.3,22.1,25.96,Stretching
6.04,6.31,22.1,25.96,Stretching
6.05,6.32,22,26.07,Stretching
6.07,6.34,22.1,26.63,Stretching
6.08,6.35,22.2,26.86,Stretching
6.09,6.36,22.3,26.74,Stretching
6.1,6.38,22.4,26.86,Stretching
6.12,6.39,22.5,26.86,Stretching
6.13,6.4,22.4,26.97,Stretching
6.14,6.42,22.6,26.97,Stretching
6.15,6.43,22.5,27.08,Stretching
6.16,6.44,22.5,26.97,Stretching
6.18,6.46,22.8,26.97,Stretching
6.19,6.47,22.7,26.97,Stretching
6.2,6.48,22.7,26.97,Stretching
6.21,6.5,22.8,27.08,Stretching
6.23,6.51,22.6,27.08,Stretching
6.24,6.52,22.7,27.08,Stretching
6.25,6.53,23.1,27.08,Stretching
6.26,6.55,23,27.2,Stretching
6.28,6.55,22.8,27.2,Stretching
6.29,6.57,22.7,27.2,Stretching
6.3,6.58,22.8,27.2,Stretching
6.31,6.59,22.9,27.31,Stretching
6.33,6.61,22.8,27.31,Stretching
6.34,6.62,22.9,27.31,Stretching
6.35,6.63,23.1,27.43,Stretching
6.36,6.65,23.2,27.31,Stretching
6.37,6.66,23.3,27.54,Stretching
6.39,6.67,23.3,27.66,Stretching
6.4,6.69,23.3,27.54,Stretching
6.41,6.7,23.4,27.66,Stretching
6.42,6.71,23.3,27.66,Stretching
6.44,6.72,23.3,27.78,Stretching
6.45,6.73,23.5,27.78,Stretching
6.46,6.75,23.3,27.78,Stretching
6.47,6.76,23.3,27.78,Stretching
6.49,6.77,23.5,27.89,Stretching
6.5,6.78,23.8,27.66,Stretching
6.51,6.8,23.9,27.78,Stretching
6.52,6.81,23.8,27.89,Stretching
6.53,6.82,23.8,28.01,Stretching
6.55,6.83,23.7,28.01,Stretching
6.56,6.84,23.8,28.01,Stretching
6.57,6.86,23.8,28.01,Stretching
6.58,6.87,23.9,28.13,Stretching
6.6,6.89,24.1,28.13,Stretching
6.61,6.9,24.2,28.01,Stretching
6.62,6.91,24.2,28.01,Stretching
6.63,6.93,24,28.01,Stretching
6.65,6.94,23.8,28.01,Stretching
6.66,6.95,24.2,28.01,Stretching
6.67,6.96,24.1,28.13,Stretching
6.68,6.98,24.3,28.13,Stretching
6.69,6.99,24.3,28.13,Stretching
6.71,7,24.1,28.24,Stretching
6.72,7.01,24.1,28.36,Stretching
6.73,7.03,24.4,28.48,Stretching
6.75,7.04,24.7,28.6,Stretching
6.76,7.05,24.5,28.72,Stretching
6.77,7.07,24.4,28.72,Stretching
6.78,7.08,24.7,28.6,Stretching
6.79,7.09,24.8,28.6,Stretching
6.81,7.1,24.9,28.6,Stretching
6.82,7.11,24.7,28.72,Stretching
6.83,7.13,24.7,28.72,Stretching
6.84,7.14,24.8,28.84,Stretching
6.86,7.15,24.7,28.96,Stretching
6.87,7.17,24.9,28.96,Stretching
6.88,7.18,25,28.96,Stretching
6.89,7.19,24.7,28.96,Stretching
6.91,7.21,24.8,29.2,Stretching
6.92,7.22,25,29.08,Stretching
6.93,7.23,25.1,29.2,Stretching
6.94,7.25,25,29.2,Stretching
6.95,7.26,25,29.2,Stretching
6.97,7.26,25.3,29.32,Stretching
6.98,7.28,25.2,29.32,Stretching
6.99,7.29,25.2,29.32,Stretching
7,7.3,25.4,29.44,Stretching
7.02,7.32,25.6,29.32,Stretching
7.03,7.33,25.5,29.32,Stretching
7.04,7.34,25.4,29.44,Stretching
7.05,7.36,25.3,29.56,Stretching
7.07,7.37,25.1,29.56,Stretching
7.08,7.38,25.4,29.56,Stretching
7.09,7.4,25.4,29.68,Stretching
7.1,7.41,25.8,29.56,Stretching
7.12,7.42,25.8,29.68,Stretching
7.13,7.44,25.6,29.56,Stretching
7.14,7.45,26,29.44,Stretching
7.15,7.46,25.8,29.81,Stretching
7.16,7.48,25.7,29.81,Stretching
7.18,7.49,25.9,29.93,Stretching
7.19,7.5,26.1,29.81,Stretching
7.2,7.51,25.9,29.81,Stretching
7.21,7.53,26,29.81,Stretching
7.23,7.53,25.9,29.93,Stretching
7.24,7.55,25.8,29.93,Stretching
7.25,7.57,25.8,30.05,Stretching
7.26,7.57,26.2,30.05,Stretching
7.27,7.59,26.4,30.05,Stretching
7.29,7.6,26.4,30.18,Stretching
7.3,7.61,26.3,30.05,Stretching
7.31,7.63,26.3,30.18,Stretching
7.33,7.64,26.6,30.18,Stretching
7.34,7.65,26.6,30.18,Stretching
7.35,7.66,26.3,30.18,Stretching
7.36,7.68,26.5,30.18,Stretching
7.37,7.69,26.7,30.3,Stretching
7.39,7.7,26.6,30.3,Stretching
7.4,7.72,26.8,30.18,Stretching
7.41,7.73,26.7,30.3,Stretching
7.42,7.74,26.6,30.43,Stretching
7.44,7.75,26.4,30.43,Stretching
7.45,7.76,26.5,30.43,Stretching
7.46,7.78,26.6,30.3,Stretching
7.47,7.79,26.8,30.68,Stretching
7.48,7.8,26.9,30.68,Stretching
7.5,7.82,27.1,30.68,Stretching
7.51,7.82,27.3,30.68,Stretching
7.52,7.84,27.2,30.93,Stretching
7.53,7.86,27.3,30.68,Stretching
7.55,7.86,27.3,30.8,Stretching
7.56,7.88,26.9,30.68,Stretching
7.57,7.89,27,30.8,Stretching
7.58,7.91,27.3,30.93,Stretching
7.6,7.92,27.5,30.8,Stretching
7.61,7.93,27.5,30.8,Stretching
7.62,7.95,27.5,30.93,Stretching
7.63,7.96,27.5,30.93,Stretching
7.65,7.97,27.3,30.93,Stretching
7.66,7.99,27.5,30.93,Stretching
7.67,8,27.5,31.05,Stretching
7.68,8.01,27.5,31.05,Stretching
7.69,8.02,27.7,31.05,Stretching
7.71,8.04,27.4,31.05,Stretching
7.72,8.05,27.7,31.18,Stretching
7.73,8.06,27.9,31.18,Stretching
7.74,8.07,27.9,31.31,Stretching
7.76,8.09,27.9,31.31,Stretching
7.77,8.1,27.8,31.31,Stretching
7.78,8.11,27.9,31.31,Stretching
7.79,8.13,28,31.31,Stretching
7.81,8.14,28.1,31.44,Stretching
7.82,8.15,27.9,31.44,Stretching
7.83,8.17,27.9,31.44,Stretching
7.84,8.18,28,31.44,Stretching
7.85,8.19,28,31.82,Stretching
7.87,8.21,28.2,31.82,Stretching
7.88,8.22,28.4,31.82,Stretching
7.89,8.23,28.2,31.95,Stretching
7.9,8.25,28.2,31.95,Stretching
7.92,8.25,28.4,31.95,Stretching
7.93,8.27,28.5,31.95,Stretching
7.94,8.28,28.4,31.95,Stretching
7.95,8.29,28.5,32.21,Stretching
7.97,8.3,28.5,32.08,Stretching
7.98,8.32,28.5,32.21,Stretching
7.99,8.33,28.6,32.21,Stretching
8,8.34,28.7,32.21,Stretching
8.02,8.35,28.7,32.21,Stretching
8.03,8.36,28.9,32.47,Stretching
8.04,8.38,29.2,32.34,Stretching
8.05,8.39,29,32.34,Stretching
8.07,8.4,28.6,32.47,Stretching
8.08,8.42,28.7,32.34,Stretching
8.09,8.43,28.9,32.47,Stretching
8.1,8.44,29.1,32.47,Stretching
8.11,8.46,29.1,32.47,Stretching
8.13,8.47,29.3,32.47,Stretching
8.14,8.48,29.3,32.47,Stretching
8.15,8.5,29.1,32.6,Stretching
8.16,8.51,29.1,32.47,Stretching
8.18,8.52,29.3,32.6,Stretching
8.19,8.53,29.4,32.6,Stretching
8.2,8.55,29.5,32.74,Stretching
8.21,8.56,29.5,32.74,Stretching
8.23,8.57,29.4,32.74,Stretching
8.24,8.59,29.3,32.47,Stretching
