Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
3.3,11.46,50.1,,,,,,11.33,,19.33,7.46,20.4
3.31,11.47,50.2,,,,,,11.34,,19.34,7.47,20.7
3.32,11.48,50.1,,,,,,11.35,,19.35,7.48,20.8
3.33,11.49,50,,,,,,11.36,,19.36,7.49,20.9
3.35,11.51,50.4,,,,,,11.38,,19.38,7.51,21.1
3.36,11.52,50.7,,,,,,11.39,,19.39,7.52,21
3.37,11.53,50.7,,,,,,11.4,,19.4,7.53,20.9
3.38,11.55,50.8,,,,,,11.41,,19.41,7.55,21.1
3.4,11.56,50.9,,,,,,11.43,,19.43,7.56,21.3
3.41,11.56,50.8,,,,,,11.44,,19.44,7.57,21.2
3.42,11.58,51.1,,,,,,11.45,,19.45,7.59,21.1
3.43,11.6,51.1,,,,,,11.46,,19.46,7.6,21.2
3.45,11.6,50.9,,,,,,11.48,,19.48,7.61,21.4
3.46,11.62,50.8,,,,,,11.49,,19.49,7.63,21.5
3.47,11.64,51.1,,,,,,11.5,,19.5,7.64,21.6
3.48,11.65,51.3,,,,,,11.51,,19.51,7.65,21.8
3.49,11.65,51.3,,,,,,11.52,,19.53,7.66,21.8
3.51,11.67,51.4,,,,,,11.54,,19.54,7.68,21.7
3.52,11.68,51.5,,,,,,11.55,,19.55,7.69,21.8
3.53,11.69,51.5,,,,,,11.56,,19.56,7.7,21.8
3.54,11.71,51.4,,,,,,11.57,,19.57,7.71,21.8
3.56,11.72,51.6,,,,,,11.59,,19.59,7.72,22
3.57,11.73,51.9,,,,,,11.6,,19.6,7.74,21.9
3.58,11.75,52,,,,,,11.61,,19.61,7.75,21.9
3.59,11.76,52,,,,,,11.62,,19.62,7.76,22.1
3.61,11.77,51.9,,,,,,11.64,,19.64,7.77,22
3.62,11.78,52,,,,,,11.65,,19.65,7.78,21.9
3.63,11.8,52.1,,,,,,11.66,,19.66,7.8,22
3.64,11.81,52.2,,,,,,11.67,,19.67,7.81,22
3.65,11.82,52.3,,,,,,11.68,,19.69,7.82,22
3.67,11.84,52.6,,,,,,11.7,,19.7,7.84,22.3
3.68,11.85,52.5,,,,,,11.71,,19.71,7.85,22.2
3.69,11.86,52.4,,,,,,11.72,,19.72,7.86,22.1
3.7,11.88,52.5,,,,,,11.73,,19.74,7.88,22.4
3.72,11.89,52.8,,,,,,11.75,,19.75,7.89,22.6
3.73,11.9,52.7,,,,,,11.76,,19.76,7.91,22.5
3.74,11.92,52.6,,,,,,11.77,,19.77,7.92,22.5
3.75,11.93,52.8,,,,,,11.78,,19.79,7.93,22.6
3.77,11.94,53,,,,,,11.8,,19.8,7.94,22.6
3.78,11.96,52.7,,,,,,11.81,,19.81,7.96,22.6
3.79,11.96,52.8,,,,,,11.82,,19.82,7.97,22.9
3.8,11.98,53,,,,,,11.83,,19.83,7.98,22.9
3.82,11.99,53.1,,,,,,11.85,,19.85,8,22.9
3.83,12,53.3,,,,,,11.86,,19.86,8.01,23.4
3.84,12.02,53.4,,,,,,11.87,,19.87,8.02,23.1
3.85,12.01,53.4,,,,,,11.88,,19.88,8.03,23
3.86,12.01,53,,,,,,11.89,,19.9,8.05,23.3
3.88,12.01,52.9,,,,,,11.91,,19.91,8.06,23.4
3.89,12.01,52.9,,,,,,11.92,,19.92,8.07,23.2
3.9,12.01,53.1,,,,,,11.93,,19.93,8.09,23.3
3.91,12.01,53.2,,,,,,11.94,,19.95,8.1,23.4
3.93,12.01,53,,,,,,11.96,,19.96,8.11,23.6
3.94,12.01,52.8,,,,,,11.97,,19.97,8.12,23.4
3.95,12.01,52.7,,,,,,11.98,,19.98,8.14,23.5
3.96,12.01,52.8,,,,,,11.99,,20,8.15,23.7
3.98,12.01,52.9,,,,,,12.01,,20.01,8.16,23.6
4,12.01,52.6,,,,,,12.03,,20.02,8.17,23.7
4,12.01,52.8,,,,,,12.03,,20.03,8.19,23.7
4.01,12,52.8,,,,,,12.04,,20.04,8.2,23.6
4.03,11.98,52.7,,,,,,12.06,,20.06,8.21,23.6
4.04,11.97,52.3,,,,,,12.07,,20.07,8.23,23.4
4.05,11.96,52,,,,,,12.08,,20.08,8.24,23.7
4.06,11.95,51.8,,,,,,12.09,,20.09,8.25,24
4.07,11.93,51.7,,,,,,12.1,,20.11,8.26,24
4.09,11.92,51.6,,,,,,12.12,,20.12,8.27,24.2
4.1,11.91,51.7,,,,,,12.13,,20.13,8.28,24.3
4.11,11.9,51.6,,,,,,12.14,,20.14,8.3,24.2
4.12,11.89,51.3,,,,,,12.15,,20.16,8.31,24.2
4.14,11.87,51.2,,,,,,12.17,,20.17,8.32,24.5
4.15,11.85,51,,,,,,12.18,,20.18,8.34,24.6
4.16,11.85,50.5,,,,,,12.19,,20.19,8.35,24.2
4.17,11.84,50.4,,,,,,12.2,,20.21,8.36,24.3
4.19,11.81,50.3,,,,,,12.22,,20.22,8.38,24.5
4.2,11.81,50.3,,,,,,12.23,,20.23,8.39,24.5
4.21,11.8,50.1,,,,,,12.24,,20.24,8.4,24.7
4.22,11.78,50,,,,,,12.25,,20.25,8.42,24.8
4.24,11.77,50,,,,,,12.27,,20.27,8.43,24.6
4.25,11.76,49.9,,,,,,12.28,,20.28,8.44,24.6
4.26,11.74,49.9,,,,,,12.29,,20.29,8.45,24.8
4.27,11.73,49.8,,,,,,12.3,,20.3,8.47,24.7
4.28,11.72,49.7,,,,,,12.31,,20.32,8.48,24.8
4.3,11.71,49.3,,,,,,12.33,,20.33,8.49,24.9
4.31,11.69,49.2,,,,,,12.34,,20.34,8.51,24.9
4.32,11.68,49.3,,,,,,12.35,,20.35,8.52,24.9
4.33,11.67,49.3,,,,,,12.36,,20.37,8.53,24.8
4.35,11.65,49,,,,,,12.38,,20.38,8.55,25
4.36,11.65,48.7,,,,,,12.39,,20.39,8.56,25.1
4.37,11.63,48.7,,,,,,12.4,,20.4,8.57,25.2
4.38,11.61,48.8,,,,,,12.41,,20.42,8.59,25.2
4.4,11.61,48.6,,,,,,12.43,,20.43,8.6,25.3
4.41,11.6,48.4,,,,,,12.44,,20.44,8.6,25.3
4.42,11.58,48.2,,,,,,12.45,,20.45,8.62,25.2
4.43,11.57,48,,,,,,12.46,,20.47,8.64,25.4
4.45,11.56,48,,,,,,12.48,,20.48,8.65,25.4
4.46,11.54,48.2,,,,,,12.49,,20.49,8.66,25.5
4.47,11.53,48.1,,,,,,12.5,,20.5,8.68,25.7
4.48,11.52,47.7,,,,,,12.51,,20.51,8.68,25.5
4.49,11.51,47.6,,,,,,12.52,,20.53,8.69,25.5
4.51,11.5,47.6,,,,,,12.54,,20.54,8.71,25.7
4.52,11.48,47.6,,,,,,12.55,,20.55,8.72,25.7
4.53,11.47,47.8,,,,,,12.56,,20.56,8.73,25.7
4.54,11.46,47.5,,,,,,12.57,,20.58,8.75,26
4.56,11.44,47.2,,,,,,12.59,,20.59,8.76,25.9
4.57,11.43,47.1,,,,,,12.6,,20.6,8.77,26
4.58,11.42,47,,,,,,12.61,,20.61,8.79,26.1
4.59,11.4,46.8,,,,,,12.62,,20.63,8.8,26.1
4.61,11.39,46.7,,,,,,12.64,,20.64,8.81,26.2
4.62,11.38,46.5,,,,,,12.65,,20.65,8.82,26.3
4.63,11.36,46.5,,,,,,12.66,,20.66,8.84,26.2
4.64,11.35,46.5,,,,,,12.67,,20.68,8.85,26.2
4.66,11.34,46.3,,,,,,12.69,,20.69,8.86,26.5
4.67,11.33,46.3,,,,,,12.7,,20.7,8.88,26.5
4.68,11.31,46.6,,,,,,12.71,,20.71,8.89,26.5
4.69,11.3,46.4,,,,,,12.72,,20.72,8.9,26.6
4.7,11.29,46.1,,,,,,12.73,,20.74,8.92,26.5
4.72,11.27,46,,,,,,12.75,,20.75,8.93,26.4
4.73,11.26,46,,,,,,12.76,,20.76,8.94,26.4
4.74,11.25,46.2,,,,,,12.77,,20.77,8.96,26.8
4.75,11.24,46,,,,,,12.78,,20.79,8.97,26.9
4.77,11.23,45.8,,,,,,12.8,,20.8,8.98,26.7
4.78,11.22,45.7,,,,,,12.81,,20.81,9,26.8
4.79,11.2,45.4,,,,,,12.82,,20.82,9.01,26.9
4.8,11.19,45.4,,,,,,12.83,,20.84,9.02,26.7
4.82,11.18,45.3,,,,,,12.85,,20.85,9.04,27
4.83,11.17,45.4,,,,,,12.86,,20.86,9.05,27.2
4.84,11.15,45.3,,,,,,12.87,,20.87,9.06,27
4.85,11.14,44.9,,,,,,12.88,,20.89,9.07,26.9
4.87,11.13,44.9,,,,,,12.9,,20.9,9.09,27.1
4.88,11.11,45,,,,,,12.91,,20.91,9.1,27.2
4.89,11.1,45,,,,,,12.92,,20.92,9.11,27.5
4.9,11.09,44.8,,,,,,12.93,,20.93,9.12,27.7
4.91,11.07,44.4,,,,,,12.94,,20.95,9.14,27.5
4.93,11.06,44.5,,,,,,12.96,,20.96,9.15,27.5
4.94,11.05,44.5,,,,,,12.97,,20.97,9.16,27.4
4.95,11.03,44.4,,,,,,12.98,,20.98,9.18,27.4
4.97,11.02,44.5,,,,,,13,,21,9.19,27.4
4.98,11.01,44.4,,,,,,13.01,,21.01,9.2,27.4
4.99,11,44.2,,,,,,13.02,,21.02,9.21,27.7
5,10.98,44.2,,,,,,13.03,,21.03,9.23,27.9
5.01,10.98,43.9,,,,,,13.04,,21.05,9.23,27.7
5.03,10.96,43.9,,,,,,13.06,,21.06,9.25,27.7
5.04,10.94,43.7,,,,,,13.07,,21.07,9.26,28
5.05,10.94,43.5,,,,,,13.08,,21.08,9.28,27.9
5.06,10.92,43.6,,,,,,13.09,,21.1,9.29,28.1
